epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.16833,2.98268,4.95337,2.83336,0.0003,0.09091,0.00017,4e-05,3.29878,5.44586,3.42334,4e-05,4e-05,4e-05
2,1.50274,2.82396,5.02314,2.74167,0.00121,0.36364,0.00085,0.00017,2.78959,5.09435,3.12677,9.802e-05,9.802e-05,9.802e-05
3,1.896,2.42608,4.6144,2.47197,0.00288,0.86364,0.00428,0.00118,2.12677,4.51063,2.48732,0.000153664,0.000153664,0.000153664
4,2.29777,2.10743,4.14248,2.13142,0.00318,0.95455,0.00746,0.00303,1.79911,4.04129,1.88629,0.000206932,0.000206932,0.000206932
5,2.70187,1.96431,3.24661,2.02256,0.00333,1,0.00785,0.00327,1.58101,3.85077,1.66718,0.000257824,0.000257824,0.000257824
6,3.08802,1.9304,2.96323,2.13233,0.00318,0.95455,0.00666,0.00308,1.6027,3.79862,1.68659,0.00030634,0.00030634,0.00030634
7,3.48995,1.85026,2.9384,1.93282,0.00333,1,0.00737,0.00293,1.50092,3.84828,1.66657,0.00035248,0.00035248,0.00035248
8,3.86245,1.8343,2.6716,1.97653,0.00333,1,0.01023,0.00345,1.44749,3.88967,1.62106,0.000396244,0.000396244,0.000396244
9,4.25404,1.73317,2.59481,1.83887,0.00333,1,0.05901,0.01464,1.50639,3.77377,1.47729,0.000437632,0.000437632,0.000437632
10,4.63496,1.71435,2.51735,1.92767,0.00333,1,0.07504,0.0266,1.43383,3.69822,1.48348,0.000476644,0.000476644,0.000476644
11,5.05126,1.60373,2.00116,1.77102,0.00333,1,0.00946,0.00393,1.43032,3.79665,1.56325,0.00051328,0.00051328,0.00051328
12,5.44355,1.65044,2.18503,1.97572,0.00333,1,0.00738,0.00309,1.47815,3.78852,1.5321,0.00054754,0.00054754,0.00054754
13,5.86026,1.58035,2.19149,1.83054,0.00333,1,0.00564,0.00271,1.31541,3.84919,1.52043,0.000579424,0.000579424,0.000579424
14,6.24385,1.59561,2.12227,1.78192,0.00333,1,0.00562,0.00291,1.32419,3.80384,1.50107,0.000608932,0.000608932,0.000608932
15,6.6617,1.56945,2.08347,1.82355,0.00326,0.97727,0.02256,0.01311,1.50329,3.63413,1.61622,0.000636064,0.000636064,0.000636064
16,7.04459,1.37069,1.79869,1.5857,0.00333,1,0.01502,0.00818,1.56409,3.68744,1.66428,0.00066082,0.00066082,0.00066082
17,7.44088,1.42777,1.83651,1.53836,0.00333,1,0.13164,0.07966,1.29132,3.27295,1.39711,0.0006832,0.0006832,0.0006832
18,8.05591,1.33733,1.56435,1.50389,0.00333,1,0.14806,0.07568,1.32551,3.30604,1.44697,0.000703204,0.000703204,0.000703204
19,8.44818,1.30128,1.56538,1.48501,0.00326,0.97727,0.31444,0.11277,1.63175,3.55973,1.8869,0.000720832,0.000720832,0.000720832
20,8.85329,1.44644,1.62481,1.51944,0.00348,0.97727,0.34422,0.13755,1.56452,3.37966,1.79665,0.000736084,0.000736084,0.000736084
21,9.26145,1.36022,1.58504,1.49275,0.00333,1,0.81983,0.51481,1.30744,3.01826,1.40023,0.00074896,0.00074896,0.00074896
22,9.66996,1.48102,1.79783,1.62068,0.41512,1,0.94481,0.60471,1.2318,2.87226,1.33679,0.00075946,0.00075946,0.00075946
23,10.0671,1.23745,1.363,1.4359,1,0.66209,0.96376,0.62843,1.26278,2.79911,1.35893,0.000767584,0.000767584,0.000767584
24,10.4681,1.35172,1.47608,1.50761,1,0.4228,0.97082,0.63993,1.22535,2.85035,1.33053,0.000773332,0.000773332,0.000773332
25,10.8792,1.33988,1.54454,1.46099,1,0.18597,0.88489,0.54843,1.381,2.92811,1.41016,0.000776704,0.000776704,0.000776704
26,11.2757,1.27142,1.50115,1.42398,1,0.42323,0.9334,0.49923,1.63743,2.85203,1.58486,0.0007777,0.0007777,0.0007777
27,11.6645,1.43307,1.54724,1.5815,1,0.71207,0.95483,0.56094,1.48789,2.60081,1.48302,0.00077632,0.00077632,0.00077632
28,12.048,1.3345,1.50051,1.52047,0.99757,0.95455,0.99071,0.67902,1.15588,2.24582,1.23059,0.000772564,0.000772564,0.000772564
29,12.4202,1.26825,1.39556,1.38456,0.99757,0.95455,0.99071,0.67902,1.15588,2.24582,1.23059,0.000766432,0.000766432,0.000766432
30,12.8078,1.33668,1.36015,1.42313,0.99843,0.95455,0.99137,0.69915,1.11935,2.1862,1.20455,0.000757924,0.000757924,0.000757924
31,13.1879,1.27028,1.29545,1.37693,1,0.889,0.95588,0.64207,1.25014,2.2755,1.28864,0.00074704,0.00074704,0.00074704
32,13.5702,1.22126,1.4695,1.39559,0.99964,0.90909,0.96617,0.6631,1.23873,2.14182,1.31826,0.00073378,0.00073378,0.00073378
33,13.9962,1.10297,1.19412,1.28762,0.99964,0.90909,0.96617,0.6631,1.23873,2.14182,1.31826,0.000718144,0.000718144,0.000718144
34,14.3711,1.15743,1.42119,1.36999,0.98602,0.90909,0.97757,0.68121,1.21966,1.95943,1.33507,0.0006932,0.0006932,0.0006932
35,14.7492,1.10616,1.2997,1.34839,0.99058,0.93182,0.99079,0.75086,1.02103,1.74627,1.14827,0.0006536,0.0006536,0.0006536
36,15.1326,1.03038,1.24105,1.25071,1,0.97361,0.995,0.77598,0.94044,1.6432,1.09962,0.000614,0.000614,0.000614
37,15.51,1.08621,1.28748,1.26192,1,0.97361,0.995,0.77598,0.94044,1.6432,1.09962,0.0005744,0.0005744,0.0005744
38,15.8978,1.16755,1.18771,1.25702,0.99799,1,0.995,0.77083,0.92529,1.56909,1.09225,0.0005348,0.0005348,0.0005348
39,16.2781,0.96497,1.22966,1.21924,0.99043,1,0.995,0.75296,0.98022,1.41297,1.13465,0.0004952,0.0004952,0.0004952
40,16.656,1.01654,1.07668,1.18677,0.99006,1,0.995,0.68354,1.13777,1.31922,1.22639,0.0004556,0.0004556,0.0004556
41,29.0251,1.17435,1.51761,1.36489,0.99006,1,0.995,0.68354,1.13777,1.31922,1.22639,0.000416,0.000416,0.000416
42,29.4105,1.21121,1.51486,1.45206,0.99176,1,0.995,0.67334,1.18289,1.28381,1.25426,0.0003764,0.0003764,0.0003764
43,29.7912,1.07218,1.41912,1.27168,1,0.99628,0.995,0.70923,1.11083,1.28468,1.20407,0.0003368,0.0003368,0.0003368
44,30.1944,0.87584,1.28234,1.15288,0.9701,1,0.993,0.75241,1.05925,1.32631,1.17172,0.0002972,0.0002972,0.0002972
