epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.27317,2.54283,4.33981,2.55863,0.00325,0.9774,0.37094,0.09261,1.53276,3.87694,1.87725,0.00044,0.00044,0.00044
2,5.92359,1.6879,2.52753,1.76959,0.0033,0.99153,0.01099,0.00514,1.2949,3.84821,1.6162,0.00088218,0.00088218,0.00088218
3,8.63357,1.53116,2.07194,1.65224,1,0.38587,0.78636,0.37765,1.61538,3.13033,1.71828,0.00130614,0.00130614,0.00130614
4,11.1663,1.52891,1.87142,1.64212,0.71577,0.51218,0.60809,0.33628,1.80039,2.44987,1.85616,0.00171189,0.00171189,0.00171189
5,13.6066,1.52567,1.7631,1.63332,0.68908,0.78257,0.77695,0.38874,1.68003,1.71637,1.81762,0.0018416,0.0018416,0.0018416
6,16.0552,1.44739,1.56285,1.55474,0.87315,0.77781,0.8924,0.46853,1.55414,1.44686,1.72836,0.001802,0.001802,0.001802
7,18.5148,1.42257,1.41561,1.55326,0.93322,0.83898,0.92606,0.48838,1.50003,1.76996,1.98399,0.0017624,0.0017624,0.0017624
8,21.0144,1.35007,1.30755,1.51151,0.88172,0.82129,0.91098,0.42644,1.69945,1.47721,2.10594,0.0017228,0.0017228,0.0017228
9,23.4644,1.30844,1.2063,1.46848,0.95717,0.83898,0.9159,0.55178,1.25714,1.42692,1.53253,0.0016832,0.0016832,0.0016832
10,25.8905,1.27343,1.12809,1.44811,0.9594,0.88983,0.97106,0.55475,1.47206,1.15587,1.87777,0.0016436,0.0016436,0.0016436
11,28.397,1.20897,1.08399,1.42102,0.98118,0.88344,0.96685,0.54168,1.44411,1.03169,1.81615,0.001604,0.001604,0.001604
12,30.8775,1.27226,1.01353,1.46263,0.95517,0.93503,0.97652,0.6313,1.10094,1.09041,1.41463,0.0015644,0.0015644,0.0015644
13,33.328,1.20434,0.95497,1.39315,0.96479,0.9209,0.97056,0.67247,1.02823,0.93221,1.33144,0.0015248,0.0015248,0.0015248
14,35.866,1.19053,0.9162,1.3804,0.96362,0.89781,0.97691,0.70792,1.02889,0.92611,1.46539,0.0014852,0.0014852,0.0014852
15,38.3425,1.1426,0.90171,1.34651,0.96654,0.97927,0.99169,0.72494,0.99848,0.72531,1.50842,0.0014456,0.0014456,0.0014456
16,40.6826,1.13507,0.842,1.33855,0.94678,0.94915,0.97863,0.66532,1.1586,0.82796,1.72446,0.001406,0.001406,0.001406
17,42.9994,1.14392,0.81225,1.3932,0.9538,0.93316,0.97245,0.6414,1.26014,0.84797,1.80988,0.0013664,0.0013664,0.0013664
18,45.445,1.11904,0.83583,1.32745,0.92544,0.98174,0.98671,0.70966,0.99004,0.73757,1.36623,0.0013268,0.0013268,0.0013268
19,47.8731,1.20215,0.85155,1.44095,0.9731,0.91987,0.97513,0.71931,0.99767,0.79801,1.48335,0.0012872,0.0012872,0.0012872
20,50.25,1.12185,0.8354,1.36546,0.96836,0.94068,0.98882,0.72001,0.98032,0.73791,1.43908,0.0012476,0.0012476,0.0012476
21,52.5473,1.1006,0.80729,1.32621,0.97784,0.98023,0.99403,0.71275,1.00403,0.67549,1.41336,0.001208,0.001208,0.001208
